#	time(s)	count A	count B	count C	count D
1697	16.9700	6	18		
1698	16.9800	6	24		
1699	16.9900	6	31		
1700	17.0000	6	37		
1701	17.0100	6	43		
1702	17.0200	6	49		
1703	17.0300	6	55		
1704	17.0400	6	60		
1705	17.0500	6	66		
1706	17.0600	6	70		
1707	17.0700	6	75		
1708	17.0800	5	79		
1709	17.0900	5	83		
1710	17.1000	5	86		
1711	17.1100	5	90		
1712	17.1200	5	92		
1713	17.1300	4	94		
1714	17.1400	4	96		
1715	17.1500	4	97		
1716	17.1600	4	98		
1717	17.1700	4	98		
1718	17.1800	4	98		
1719	17.1900	4	98		
1720	17.2000	3	96		
1721	17.2100	3	95		
1722	17.2200	3	93		
1723	17.2300	3	90		
1724	17.2400	3	87		
1725	17.2500	2	84		
1726	17.2600	2	80		
1727	17.2700	2	76		
1728	17.2800	2	72		
1729	17.2900	2	67		
1730	17.3000	2	62		
1731	17.3100	2	56		
1732	17.3200	2	51		
1733	17.3300	2	45		
1734	17.3400	2	39		
1735	17.3500	1	32		
1736	17.3600	1	26		
1737	17.3700	1	20		
1738	17.3800	1	13		
1739	17.3900	1	6		
1740	17.4000	1	0		
1741	17.4100	1	-7		
1742	17.4200	1	-14		
1743	17.4300	1	-20		
1744	17.4400	1	-26		
1745	17.4500	2	-33		
1746	17.4600	2	-39		
1747	17.4700	2	-44		
1748	17.4800	2	-50		
1749	17.4900	2	-55		
1750	17.5000	2	-60		
1751	17.5100	2	-65		
1752	17.5200	2	-69		
1753	17.5300	2	-73		
1754	17.5400	2	-76		
1755	17.5500	2	-80		
1756	17.5600	3	-82		
1757	17.5700	3	-84		
1758	17.5800	3	-86		
1759	17.5900	3	-87		
1760	17.6000	4	-88		
1761	17.6100	4	-88		
1762	17.6200	4	-88		
1763	17.6300	4	-87		
1764	17.6400	4	-86		
1765	17.6500	4	-84		
1766	17.6600	4	-82		
1767	17.6700	5	-80		
1768	17.6800	5	-77		
1769	17.6900	5	-73		
1770	17.7000	5	-70		
1771	17.7100	5	-65		
1772	17.7200	6	-61		
1773	17.7300	6	-56		
1774	17.7400	6	-50		
1775	17.7500	6	-45		
1776	17.7600	6	-39		
1777	17.7700	6	-33		
1778	17.7800	6	-27		
1779	17.7900	6	-20		
1780	17.8000	6	-14		
1781	17.8100	6	-7		
1782	17.8200	6	0		
1783	17.8300	6	7		
1784	17.8400	6	14		
1785	17.8500	6	20		
1786	17.8600	6	27		
1787	17.8700	6	34		
1788	17.8800	6	40		
1789	17.8900	6	46		
1790	17.9000	6	52		
1791	17.9100	6	58		
1792	17.9200	6	64		
1793	17.9300	6	69		
1794	17.9400	6	74		
1795	17.9500	6	79		
1796	17.9600	5	83		
1797	17.9700	5	87		
1798	17.9800	5	91		
1799	17.9900	5	94		
1800	18.0000	5	96		
1801	18.0100	4	99		
1802	18.0200	4	100		
1803	18.0300	4	102		
1804	18.0400	4	102		
1805	18.0500	4	102		
1806	18.0600	4	102		
1807	18.0700	4	101		
1808	18.0800	3	100		
1809	18.0900	3	98		
1810	18.1000	3	96		
1811	18.1100	3	94		
1812	18.1200	2	90		
1813	18.1300	2	87		
1814	18.1400	2	83		
1815	18.1500	2	78		
1816	18.1600	2	74		
1817	18.1700	2	68		
1818	18.1800	2	63		
1819	18.1900	2	57		
1820	18.2000	2	52		
1821	18.2100	2	45		
1822	18.2200	2	39		
1823	18.2300	1	32		
1824	18.2400	1	25		
1825	18.2500	1	18		
1826	18.2600	1	12		
1827	18.2700	1	5		
1828	18.2800	1	-2		
1829	18.2900	1	-9		
1830	18.3000	1	-16		
1831	18.3100	1	-23		
1832	18.3200	2	-30		
1833	18.3300	2	-36		
1834	18.3400	2	-42		
1835	18.3500	2	-48		
1836	18.3600	2	-54		
1837	18.3700	2	-59		
1838	18.3800	2	-64		
1839	18.3900	2	-69		
1840	18.4000	2	-74		
1841	18.4100	2	-78		
1842	18.4200	2	-81		
1843	18.4300	2	-84		
1844	18.4400	3	-87		
1845	18.4500	3	-89		
1846	18.4600	3	-90		
1847	18.4700	3	-92		
1848	18.4800	4	-92		
1849	18.4900	4	-92		
1850	18.5000	4	-92		
1851	18.5100	4	-91		
1852	18.5200	4	-90		
1853	18.5300	4	-88		
1854	18.5400	4	-86		
1855	18.5500	5	-83		
1856	18.5600	5	-80		
1857	18.5700	5	-76		
1858	18.5800	5	-72		
1859	18.5900	6	-68		
1860	18.6000	6	-63		
1861	18.6100	6	-57		
1862	18.6200	6	-52		
1863	18.6300	6	-46		
1864	18.6400	6	-40		
1865	18.6500	6	-33		
1866	18.6600	6	-27		
1867	18.6700	6	-20		
1868	18.6800	6	-13		
1869	18.6900	6	-6		
1870	18.7000	6	1		
1871	18.7100	6	8		
1872	18.7200	6	16		
1873	18.7300	6	23		
1874	18.7400	6	30		
1875	18.7500	6	36		
1876	18.7600	6	43		
1877	18.7700	6	50		
1878	18.7800	6	56		
1879	18.7900	6	62		
1880	18.8000	6	68		
1881	18.8100	6	74		
1882	18.8200	6	79		
1883	18.8300	6	84		
1884	18.8400	5	88		
1885	18.8500	5	92		
1886	18.8600	5	95		
1887	18.8700	5	98		
1888	18.8800	5	101		
1889	18.8900	4	103		
1890	18.9000	4	105		
1891	18.9100	4	106		
1892	18.9200	4	107		
1893	18.9300	4	107		
1894	18.9400	4	106		
1895	18.9500	4	106		
1896	18.9600	3	104		
1897	18.9700	3	102		
1898	18.9800	3	100		
1899	18.9900	3	97		
1900	19.0000	2	94		
1901	19.0100	2	90		
1902	19.0200	2	85		
1903	19.0300	2	81		
1904	19.0400	2	76		
1905	19.0500	2	70		
1906	19.0600	2	64		
1907	19.0700	2	58		
1908	19.0800	2	52		
1909	19.0900	2	46		
1910	19.1000	1	39		
1911	19.1100	1	32		
1912	19.1200	1	25		
1913	19.1300	1	17		
1914	19.1400	1	10		
1915	19.1500	1	3		
1916	19.1600	1	-4		
1917	19.1700	1	-12		
1918	19.1800	1	-19		
1919	19.1900	1	-26		
1920	19.2000	1	-32		
1921	19.2100	1	-39		
1922	19.2200	1	-46		
1923	19.2300	1	-52		
1924	19.2400	2	-58		
1925	19.2500	2	-63		
1926	19.2600	2	-69		
1927	19.2700	2	-74		
1928	19.2800	2	-78		
1929	19.2900	2	-82		
1930	19.3000	2	-86		
1931	19.3100	2	-89		
1932	19.3200	2	-91		
1933	19.3300	3	-94		
1934	19.3400	3	-95		
1935	19.3500	3	-96		
1936	19.3600	3	-97		
1937	19.3700	4	-97		
1938	19.3800	4	-96		
1939	19.3900	4	-96		
1940	19.4000	4	-94		
1941	19.4100	4	-92		
1942	19.4200	4	-90		
1943	19.4300	5	-86		
1944	19.4400	5	-83		
1945	19.4500	5	-79		
1946	19.4600	5	-75		
1947	19.4700	5	-70		
1948	19.4800	6	-65		
1949	19.4900	6	-59		
1950	19.5000	6	-53		
1951	19.5100	6	-47		
1952	19.5200	6	-40		
1953	19.5300	6	-34		
1954	19.5400	6	-27		
1955	19.5500	6	-20		
1956	19.5600	6	-12		
1957	19.5700	6	-5		
1958	19.5800	6	2		
1959	19.5900	6	10		
1960	19.6000	6	17		
1961	19.6100	6	25		
1962	19.6200	6	32		
1963	19.6300	6	39		
1964	19.6400	6	46		
1965	19.6500	6	53		
1966	19.6600	6	59		
1967	19.6700	6	66		
1968	19.6800	6	72		
1969	19.6900	6	77		
1970	19.7000	6	83		
1971	19.7100	6	88		
1972	19.7200	5	92		
1973	19.7300	5	96		
1974	19.7400	5	100		
1975	19.7500	5	103		
1976	19.7600	5	106		
1977	19.7700	4	108		
1978	19.7800	4	110		
1979	19.7900	4	111		
1980	19.8000	4	111		
1981	19.8100	4	111		
1982	19.8200	4	111		
1983	19.8300	4	110		
1984	19.8400	3	108		
1985	19.8500	3	106		
1986	19.8600	3	103		
1987	19.8700	3	100		
1988	19.8800	2	96		
1989	19.8900	2	92		
1990	19.9000	2	88		
1991	19.9100	2	83		
1992	19.9200	2	78		
1993	19.9300	2	72		
1994	19.9400	2	66		
1995	19.9500	2	59		
1996	19.9600	2	53		
1997	19.9700	2	46		
1998	19.9800	2	39		
1999	19.9900	1	32		
2000	20.0000	1	24		
2001	20.0100	1	16		
2002	20.0200	1	9		
2003	20.0300	1	2		
2004	20.0400	1	-6		
